Time(UTC),batt_v_1,t_log_1,rh_1,rh_2,rh_3,rh_4,rh_5,t_1,t_2,t_3,t_4,t_5,wspd_1,wdir_1,wspd_2,wdir_2,wspd_3,wdir_3,wspd_4,wdir_4,wspd_5,wdir_5
2024-10-22 09:30:00,11.6957,12.8457,49.4877,69.4364,58.2884,79.265,72.9886,-23.1114,-20.7576,-15.3847,-26.6371,-19.3024,2.5349,225.1005,2.0029,219.9803,1.7752,234.0804,1.0211,246.5598,1.2367,240.7905
2025-09-16 07:00:00,13.65,22.35,-18.77,-17.94,-17.37,-16.795,-16.35,-63.805,-63.375,-63.59,-63.55,-64.005,0.0,180.0,0.0,180.0,0.0,180.0,0.0,180.0,0.0,180.0
2025-09-16 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 11:30:00,13.8953,15.3897,90.2533,90.46,91.17,91.1867,90.27,13.9097,13.9813,13.9487,13.9657,14.056,3.3418,203.8795,3.0951,206.7564,2.8063,211.4916,2.4927,213.2055,3.5583,217.4118
2025-09-16 12:00:00,13.8693,15.352,83.9,84.5033,85.2167,85.6933,86.57,14.69,14.8027,14.8703,14.8797,15.0177,5.9843,204.9958,5.3194,209.3129,4.7924,213.4837,4.4884,210.3974,3.8115,210.2514
2025-09-16 12:30:00,13.8243,16.526,75.319,76.0487,76.5787,77.121,78.2243,15.751,15.8237,15.919,15.924,16.0193,6.8637,202.8192,6.1313,207.0638,5.5451,211.095,5.2199,208.741,4.4718,207.6977
2025-09-16 13:00:00,13.8437,17.0977,71.4953,72.266,72.8753,73.6003,74.9343,15.937,15.9423,15.9733,15.9083,15.851,7.2213,204.3884,6.417,207.9032,5.765,212.6351,5.4052,209.4229,4.6249,208.0132
2025-09-16 13:30:00,13.8433,17.2503,67.2943,68.0903,68.7093,69.4013,70.8143,16.4583,16.472,16.475,16.3963,16.3053,6.7722,208.3226,6.0442,215.089,5.4161,218.6352,5.111,214.5324,4.3795,214.3137
2025-09-16 14:00:00,13.723,17.087,75.7917,76.587,76.8383,77.235,78.0973,15.7087,15.7147,15.717,15.6527,15.5577,5.3674,237.3399,4.6415,242.0602,4.0753,245.4734,3.8303,241.7148,3.3054,239.749
2025-09-16 14:30:00,13.8937,15.9993,88.1933,89.08,89.73,90.0467,91.3,14.3097,14.3353,14.308,14.267,14.1707,4.2092,253.8555,3.6495,259.0616,3.1996,260.6802,3.0053,257.0312,2.5493,253.8719
2025-09-16 15:00:00,13.9033,15.261,81.0987,82.259,83.586,83.866,86.0107,15.235,15.2297,15.1857,15.153,15.016,3.521,223.8981,3.0661,228.0973,2.69,231.0942,2.5373,227.8907,2.1292,227.2262
